All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                    assembly   scaffolds
# contigs (>= 0 bp)         4          7        
# contigs (>= 1000 bp)      4          6        
# contigs (>= 5000 bp)      4          4        
# contigs (>= 10000 bp)     4          4        
# contigs (>= 25000 bp)     4          4        
# contigs (>= 50000 bp)     3          3        
Total length (>= 0 bp)      5481946    5457466  
Total length (>= 1000 bp)   5481946    5457221  
Total length (>= 5000 bp)   5481946    5452801  
Total length (>= 10000 bp)  5481946    5452801  
Total length (>= 25000 bp)  5481946    5452801  
Total length (>= 50000 bp)  5447761    5418489  
# contigs                   4          6        
Largest contig              5248224    5246278  
Total length                5481946    5457221  
GC (%)                      50.66      50.65    
N50                         5248224    5246278  
N90                         5248224    5246278  
auN                         5028387.6  5046681.8
L50                         1          1        
L90                         1          1        
# N's per 100 kbp           0.00       0.00     
