Assembly	assembly
# misassemblies	187
  # contig misassemblies	187
    # c. relocations	187
    # c. translocations	0
    # c. inversions	0
  # scaffold misassemblies	0
    # s. relocations	0
    # s. translocations	0
    # s. inversions	0
# misassembled contigs	1
Misassembled contigs length	5248224
# local misassemblies	83
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	1
# mismatches	87924
# indels	1767
    # indels (<= 5 bp)	1502
    # indels (> 5 bp)	265
Indels length	19422
