Assembly	assembly
# contigs (>= 0 bp)	4
# contigs (>= 1000 bp)	4
# contigs (>= 5000 bp)	4
# contigs (>= 10000 bp)	4
# contigs (>= 25000 bp)	4
# contigs (>= 50000 bp)	3
Total length (>= 0 bp)	5481946
Total length (>= 1000 bp)	5481946
Total length (>= 5000 bp)	5481946
Total length (>= 10000 bp)	5481946
Total length (>= 25000 bp)	5481946
Total length (>= 50000 bp)	5447761
# contigs	4
Largest contig	5248224
Total length	5481946
Reference length	4641652
GC (%)	50.66
Reference GC (%)	50.79
N50	5248224
NG50	5248224
N90	5248224
NG90	5248224
auN	5028387.6
auNG	5938693.6
L50	1
LG50	1
L90	1
LG90	1
# misassemblies	187
# misassembled contigs	1
Misassembled contigs length	5248224
# local misassemblies	83
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	1
# unaligned contigs	2 + 2 part
Unaligned length	1308803
Genome fraction (%)	89.329
Duplication ratio	1.006
# N's per 100 kbp	0.00
# mismatches per 100 kbp	2107.51
# indels per 100 kbp	42.35
Largest alignment	202667
Total aligned length	4171937
NA50	35175
NGA50	44356
NA90	-
NGA90	-
auNA	48312.8
auNGA	57059.1
LA50	40
LGA50	30
LA90	-
LGA90	-
