"gene","log2FoldChange","padj"
"b3593",-2.32265726663297,3.71337750589767e-08
"b3476",2.67036385065268,1.42575376080828e-07
"b1397",2.16435915659743,3.44885875214805e-07
"b2952",-2.08744233241037,3.44885875214805e-07
"b2887",-2.2922183708628,5.35536337510342e-07
"b2298",-2.19129983464435,8.92011028548815e-06
"b0607",-2.24457228200826,2.69945979385989e-05
"b1723",-2.07448065702683,4.92005630116656e-05
"b2459",2.00187069568243,4.92005630116656e-05
"b3166",-2.10415139897116,4.92005630116656e-05
"b3237",-2.04813267158734,6.29403499902325e-05
"b3959",-2.09955875409582,6.29403499902325e-05
"b3170",-2.03106615709833,9.080349127198e-05
"b0889",-2.07425675539791,0.000100322559602224
"b0033",-2.0341200133632,0.000100481131870598
"b3151",2.55181596713873,0.000100481131870598
"b3957",-2.01922743269956,0.000132494523630813
"b3359",-2.0374494358827,0.000133017326089548
"b0032",-2.17324216938333,0.000154668281063132
"b3167",-2.02050604570709,0.000157754379219296
"b1745",2.41403913340758,0.000210236942136704
"b2471",2.32865235318879,0.00044365002871595
"b0812",-2.00020140202305,0.000453019886530953
"b1301",2.3544559363961,0.000453019886530953
"b1744",2.31907196253436,0.000456289882772419
"b1747",2.30062947663971,0.000714486853510614
"b3165",2.27423984934976,0.000714486853510614
"b0045",2.26891733677988,0.000834107480126713
"b0112",2.24991530353681,0.000875964231615406
"b4077",2.21692305211315,0.00123684927028422
"b1748",2.14354375089828,0.00226094462734772
"b2462",2.11588746821941,0.00280411019742306
"b1746",2.11324509378448,0.00311490421808992
"b3675",2.33930281610282,0.00509543952997696
"b1408",-2.49255351361038,0.00716057148219008
