locus_tag	ftype	length_bp	gene	EC_number	COG	product
OLECGONO_00001	CDS	2871	xdhA_1	1.17.1.4	COG1529	Putative xanthine dehydrogenase molybdenum-binding subunit XdhA
OLECGONO_00002	CDS	780	cdhB	1.17.5.2		Caffeine dehydrogenase subunit beta
OLECGONO_00003	CDS	1329	ssnA	3.-.-.-	COG0402	Putative aminohydrolase SsnA
OLECGONO_00004	CDS	3099	ygfK		COG0493	Putative oxidoreductase YgfK
OLECGONO_00005	CDS	579	mocA	2.7.7.76	COG2068	Molybdenum cofactor cytidylyltransferase
OLECGONO_00006	CDS	771				hypothetical protein
OLECGONO_00007	CDS	1626	pucA	1.17.1.4	COG1975	putative xanthine dehydrogenase subunit A
OLECGONO_00008	CDS	933	arcC1	2.7.2.2		Carbamate kinase 1
OLECGONO_00009	CDS	1386	hyuA	3.5.2.-	COG0044	D-phenylhydantoinase
OLECGONO_00010	CDS	1212	argE_1	3.5.1.16	COG0624	Acetylornithine deacetylase
OLECGONO_00011	CDS	1197	ygeX	4.3.1.15	COG1171	Diaminopropionate ammonia-lyase
OLECGONO_00012	CDS	1188	ygeW	2.1.3.-	COG0078	Putative carbamoyltransferase YgeW
OLECGONO_00013	CDS	1779		1.14.14.51		Limonene hydroxylase
OLECGONO_00014	CDS	480	ndhS	1.17.1.5		Nicotinate dehydrogenase small FeS subunit
OLECGONO_00015	CDS	879	ndhF	1.17.1.5		Nicotinate dehydrogenase FAD-subunit
OLECGONO_00016	CDS	2298	xdhA_2	1.17.1.4	COG1529	Putative xanthine dehydrogenase molybdenum-binding subunit XdhA
OLECGONO_00017	CDS	753	nlpD_1			Murein hydrolase activator NlpD
OLECGONO_00018	tRNA	74				tRNA-Gly(ccc)
OLECGONO_00019	CDS	1611				hypothetical protein
OLECGONO_00020	CDS	180	ghoT_1			Toxin GhoT
OLECGONO_00021	CDS	750	invF			Invasion protein InvF
OLECGONO_00022	CDS	1704	invG		COG1450	Protein InvG
OLECGONO_00023	CDS	1146	mxiC			Protein MxiC
OLECGONO_00024	CDS	2061	invA		COG4789	Invasion protein InvA
OLECGONO_00025	CDS	1293	spaL	3.6.3.14	COG1157	putative ATP synthase SpaL
OLECGONO_00026	CDS	459				hypothetical protein
OLECGONO_00027	CDS	876				hypothetical protein
OLECGONO_00028	CDS	948	spaO		COG1886	Surface presentation of antigens protein SpaO
OLECGONO_00029	CDS	666	spaP		COG4790	Surface presentation of antigens protein SpaP
OLECGONO_00030	CDS	261				hypothetical protein
OLECGONO_00031	CDS	768	spaR_1		COG4791	Surface presentation of antigens protein SpaR
OLECGONO_00032	CDS	1113	spaS		COG1377	Surface presentation of antigens protein SpaS
OLECGONO_00033	CDS	294				hypothetical protein
OLECGONO_00034	CDS	501				hypothetical protein
OLECGONO_00035	CDS	1182	prgH			Protein PrgH
OLECGONO_00036	CDS	240	prgI			Protein PrgI
OLECGONO_00037	CDS	333				hypothetical protein
OLECGONO_00038	CDS	735	prgK		COG4669	Lipoprotein PrgK
OLECGONO_00039	CDS	582	orgA			Oxygen-regulated invasion protein OrgA
OLECGONO_00040	CDS	708	orgB			Oxygen-regulated invasion protein OrgB
OLECGONO_00041	CDS	633	liaR		COG2197	Transcriptional regulatory protein LiaR
OLECGONO_00042	CDS	504				hypothetical protein
OLECGONO_00043	CDS	219				hypothetical protein
OLECGONO_00044	CDS	1377	hilA_1		COG0457	Transcriptional regulator HilA
OLECGONO_00045	CDS	492	sicA_1		COG0457	Chaperone protein SicA
OLECGONO_00046	CDS	492				hypothetical protein
OLECGONO_00047	CDS	96				hypothetical protein
OLECGONO_00048	CDS	426				hypothetical protein
OLECGONO_00049	CDS	141	yqeL			putative protein YqeL
OLECGONO_00050	CDS	483				hypothetical protein
OLECGONO_00051	CDS	810				hypothetical protein
OLECGONO_00052	CDS	633	ecpR_1			HTH-type transcriptional regulator EcpR
OLECGONO_00053	CDS	1230	yqeG		COG0814	Inner membrane transport protein YqeG
OLECGONO_00054	CDS	1182	thlA	2.3.1.9	COG0183	Acetyl-CoA acetyltransferase
OLECGONO_00055	CDS	837	kduI	5.3.1.17	COG3717	4-deoxy-L-threo-5-hexosulose-uronate ketol-isomerase
OLECGONO_00056	CDS	762	kduD_1	1.1.1.127		2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase
OLECGONO_00057	CDS	1419	araE			Arabinose-proton symporter
OLECGONO_00058	CDS	693	ygeA	5.-.-.-	COG1794	Putative racemase YgeA
