# Annotated with Bakta
# Software: v1.12.0
# Database: v6.0, light
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Score	Evalue	Query Cov	Subject Cov	Id	Accession
contig_1	cds	59	535	+	EEGGAC_00001	294.0	6.1e-102	0.962	0.879	0.987	UniRef:UniRef50_A0A6I0S167
contig_1	cds	538	981	+	EEGGAC_00002	165.0	2.6e-51	0.980	0.900	0.556	UniRef:UniRef50_A0AA86IPV2
contig_1	cds	953	1555	-	EEGGAC_00003	336.0	1.2e-116	1.185	0.992	0.747	UniRef:UniRef50_P09153
contig_1	cds	1555	2103	-	EEGGAC_00004	349.0	1.3e-122	0.940	0.818	0.988	UniRef:UniRef50_A0A6D0F057
contig_1	cds	2133	2687	+	EEGGAC_00005	280.0	3.0e-95	0.995	0.859	0.754	UniRef:UniRef50_A0A2P0AZE3
contig_1	cds	2748	3521	-	EEGGAC_00006	519.0	2.6e-187	1.0	0.871	1.0	UniRef:UniRef50_A0A164CCK0
contig_1	cds	4137	5117	+	EEGGAC_00007	645.0	1.5e-237	1.0	1.0	0.994	IS:IS5
contig_1	cds	5341	5844	+	EEGGAC_00008	222.0	3.1e-73	0.952	0.952	0.686	UniRef:UniRef50_A0A758A7S2
contig_1	cds	6114	7031	-	EEGGAC_00009	368.0	1.2e-126	0.984	0.980	0.567	UniRef:UniRef50_A0A833EK37
contig_1	cds	7166	7318	+	EEGGAC_00010	86.7	3.7e-23	1.0	0.980	0.840	UniRef:UniRef50_A0A234EMI3
contig_1	cds	8348	9232	-	EEGGAC_00011	505.0	3.2e-180	0.993	0.844	0.853	UniRef:UniRef50_V2UHP0
contig_1	cds	9419	10555	+	EEGGAC_00012	636.0	2.0e-229	0.926	0.839	0.883	UniRef:UniRef50_Q65QI1
contig_1	cds	10697	11824	+	EEGGAC_00013	503.0	2.1e-177	0.987	0.927	0.716	UniRef:UniRef50_A0A2X4URE5
contig_1	cds	11877	12026	-	EEGGAC_00014	-	-	-	-	-	-
contig_1	cds	12005	12961	-	EEGGAC_00015	622.0	8.2e-229	1.0	1.0	0.978	BlastRules:WP_000121359
contig_1	cds	12971	15169	-	EEGGAC_00016	1423.0	0.0	1.0	1.0	0.988	BlastRules:WP_000667026
contig_1	cds	15166	16122	-	EEGGAC_00017	608.0	2.5e-223	1.0	1.0	0.994	BlastRules:WP_000643333
contig_1	cds	16119	16610	-	EEGGAC_00018	225.0	2.9e-74	0.969	0.810	0.684	UniRef:UniRef50_B3R9E1
contig_1	ncRNA	16679	16801	+	EEGGAC_00019	150.3	1.3e-25	-	-	-	RFAM:RF01387
contig_1	cds	16683	16994	+	EEGGAC_00020	119.0	1.5e-34	1.0	1.0	0.592	UniRef:UniRef50_A0A1N6MX57
contig_1	cds	17114	17860	+	EEGGAC_00021	511.0	3.0e-184	1.0	0.810	0.972	UniRef:UniRef50_A0A854BIN2
contig_1	cds	17830	18069	-	EEGGAC_00022	-	-	-	-	-	-
contig_1	cds	18476	19090	+	EEGGAC_00023	278.0	6.1e-94	0.980	0.881	0.650	UniRef:UniRef50_P0AAA1
contig_1	ncRNA	19096	19296	+	EEGGAC_00024	191.8	1.1e-24	-	-	-	RFAM:RF02111
contig_1	cds	19982	20692	-	EEGGAC_00025	468.0	1.9e-170	1.0	1.0	0.979	BlastRules:WP_001301550
contig_1	cds	20661	22304	-	EEGGAC_00026	1096.0	0.0	1.0	1.0	0.995	VFDB:VFG002416
contig_1	cds	22294	24819	-	EEGGAC_00027	1629.0	0.0	1.0	1.0	0.986	BlastRules:WP_001131063
contig_1	cds	24845	25513	-	EEGGAC_00028	425.0	5.5e-154	1.0	1.0	0.977	BlastRules:WP_000716386
contig_1	cds	25571	26158	-	EEGGAC_00029	358.0	2.4e-128	1.0	1.0	0.995	BlastRules:WP_000730972
contig_1	cds	26233	26775	-	EEGGAC_00030	355.0	8.9e-128	0.994	0.994	0.994	VFDB:VFG002413
contig_1	cds	27860	28000	-	EEGGAC_00031	55.8	5.0e-11	1.0	0.920	0.652	UniRef:UniRef50_Q9A383
contig_1	cds	28000	28266	-	EEGGAC_00032	107.0	3.2e-30	1.011	0.848	0.596	UniRef:UniRef50_Q9HY25
contig_1	cds	28628	28729	-	EEGGAC_00033	59.7	6.1e-13	1.0	1.0	0.970	UniRef:UniRef50_C1P5Z8
contig_1	cds	29203	30345	-	EEGGAC_00034	463.0	5.7e-161	1.0	0.872	0.597	UniRef:UniRef50_A0A0C4YKA1
