# Annotated with Bakta
# Software: v1.12.0
# Database: v6.0, light
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Score	Evalue	Query Cov	Subject Cov	Id	Accession
contig_1	cds	319	3189	-	LBAHFK_00001	1919.0	0.0	1.0	0.846	0.999	UniRef:UniRef50_Q46814
contig_1	cds	3186	3965	-	LBAHFK_00002	503.0	1.7e-181	1.0	0.977	0.988	UniRef:UniRef50_P64557
contig_1	cds	4016	5344	-	LBAHFK_00003	864.0	1.3e-317	1.072	1.0	0.924	UniRef:UniRef50_Q46812
contig_1	cds	5347	8445	-	LBAHFK_00004	1159.0	0.0	1.006	0.959	0.554	UniRef:UniRef50_A0A081N4P5
contig_1	cds	8767	9345	-	LBAHFK_00005	383.0	6.3e-136	1.0	0.941	0.969	UniRef:UniRef50_Q46810
contig_1	cds	9448	10218	+	LBAHFK_00006	526.0	2.0e-190	1.0	0.938	0.996	UniRef:UniRef50_Q46809
contig_1	cds	10266	11891	+	LBAHFK_00007	730.0	9.7e-262	0.978	0.953	0.709	UniRef:UniRef50_Q46808
contig_1	cds	12111	13043	-	LBAHFK_00008	329.0	7.6e-111	1.006	0.937	0.561	UniRef:UniRef50_D3R0J2
contig_1	cds	13091	14476	-	LBAHFK_00009	941.0	0.0	1.0	1.0	0.996	BlastRules:WP_001264442
contig_1	cds	14529	15740	-	LBAHFK_00010	571.0	8.6e-203	0.968	0.871	0.697	UniRef:UniRef50_A0A0G2Z4Z6
contig_1	cds	15798	16994	-	LBAHFK_00011	780.0	1.0e-285	1.121	1.0	0.892	UniRef:UniRef50_P66899
contig_1	cds	17052	18239	-	LBAHFK_00012	493.0	4.3e-172	0.990	0.875	0.621	UniRef:UniRef50_Q46803
contig_1	cds	18719	20497	+	LBAHFK_00013	738.0	7.7e-263	1.056	0.984	0.622	UniRef:UniRef50_Q6LQM8
contig_1	cds	20537	21016	-	LBAHFK_00014	197.0	1.1e-63	0.956	1.007	0.651	UniRef:UniRef50_A0A376LB18
contig_1	cds	21013	21891	-	LBAHFK_00015	555.0	2.1e-200	0.966	0.895	0.975	UniRef:UniRef50_Q46800
contig_1	cds	21902	24199	-	LBAHFK_00016	867.0	2.5e-308	1.012	0.992	0.570	UniRef:UniRef50_G1V151
contig_1	cds	24615	25367	+	LBAHFK_00017	467.0	3.9e-167	1.004	0.937	0.992	UniRef:UniRef50_Q46798
contig_1	tRNA	25446	25519	+	LBAHFK_00018	81.1	-	-	-	-	-
contig_1	cds	25752	27362	+	LBAHFK_00019	1042.0	0.0	0.998	0.954	0.983	UniRef:UniRef50_A0A5B9AP07
contig_1	cds	27428	27607	+	LBAHFK_00020	-	-	-	-	-	-
contig_1	cds	27953	28702	+	LBAHFK_00021	-	-	-	-	-	-
contig_1	cds	28699	30402	+	LBAHFK_00022	538.0	2.9e-185	0.984	0.962	0.527	UniRef:UniRef50_P35672
contig_1	cds	30407	31552	+	LBAHFK_00023	724.0	7.5e-265	1.0	0.979	1.0	UniRef:UniRef50_A0A0J3VTV6
contig_1	cds	31545	33605	+	LBAHFK_00024	840.0	1.3e-299	1.006	0.934	0.638	UniRef:UniRef50_P0A1I3
contig_1	cds	33637	34929	+	LBAHFK_00025	450.0	7.1e-155	0.993	0.982	0.525	UniRef:UniRef50_A0A4P7KXQ2
contig_1	cds	34919	35377	+	LBAHFK_00026	270.0	1.0e-92	1.0	0.981	0.980	UniRef:UniRef50_A0A0J2HB39
