#Annotated with Bakta v1.12.0, https://github.com/oschwengers/bakta
#Database v6.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_1	6114	7031	-	EEGGAC_00009	35.1	4.8		SO:0001217, UniRef:UniRef50_A0A833EK37
contig_1	7166	7318	+	EEGGAC_00010	5.8	9.9		SO:0001217, UniRef:UniRef50_A0A234EMI3
contig_1	11877	12026	-	EEGGAC_00014	5.4	11.7		
contig_1	17830	18069	-	EEGGAC_00022	8.4	6.2		
contig_1	40549	41406	-	EEGGAC_00041	33.9	8.4	PF00165.29|HTH_AraC, PF06445.20|GyrI-like, PF12833.13|HTH_18	PFAM:PF00165.29, PFAM:PF06445.20, PFAM:PF12833.13
contig_1	60239	60844	+	EEGGAC_00057	21.6	5.5	PF00023.36|Ank, PF12796.13|Ank_2, PF13606.12|Ank_3, PF13637.12|Ank_4, PF13857.12|Ank_5	PFAM:PF00023.36, PFAM:PF12796.13, PFAM:PF13606.12, PFAM:PF13637.12, PFAM:PF13857.12
contig_1	67435	67845	+	EEGGAC_00063	15.1	4.9	PF04266.20|ASCH	PFAM:PF04266.20
contig_1	75575	76033	-	EEGGAC_00070	16.8	8.8		
contig_1	79256	79795	-	EEGGAC_00074	19.4	11.2		
contig_1	123342	123443	-	EEGGAC_00122	3.9	11.6		SO:0001217, UniRef:UniRef50_A0A658Z4P2
contig_1	130466	130786	+	EEGGAC_00130	11.7	9.8	PF07769.19|PsiF_repeat	PFAM:PF07769.19
contig_1	135750	135932	-	EEGGAC_00138	6.8	4.8		SO:0001217, UniRef:UniRef50_A0A0K4C8M6
contig_1	206520	206831	-	EEGGAC_00202	11.5	9.9	PF01035.26|DNA_binding_1	PFAM:PF01035.26
contig_1	270032	270454	-	EEGGAC_00242	15.2	8.3		
contig_1	325411	325641	+	EEGGAC_00305	8.2	9.8		
contig_1	337258	337410	+	EEGGAC_00324	5.8	9.5		
contig_1	360541	361245	+	EEGGAC_00348	26.3	5.1	PF13884.11|Peptidase_S74	PFAM:PF13884.11
contig_1	372059	372595	-	EEGGAC_00357	20.8	9.6		
contig_1	373674	373793	+	EEGGAC_00360	4.6	9.5		
