locus_tag	ftype	length_bp	gene	EC_number	COG	product
NGPMFCKN_00001	CDS	477				hypothetical protein
NGPMFCKN_00002	CDS	444				hypothetical protein
NGPMFCKN_00003	CDS	603	tfaE_1			Prophage tail fiber assembly protein TfaE
NGPMFCKN_00004	CDS	549				hypothetical protein
NGPMFCKN_00005	CDS	555	hin		COG1961	DNA-invertase hin
NGPMFCKN_00006	CDS	774				hypothetical protein
NGPMFCKN_00007	CDS	981				hypothetical protein
NGPMFCKN_00008	CDS	504				hypothetical protein
NGPMFCKN_00009	CDS	918				hypothetical protein
NGPMFCKN_00010	CDS	153				hypothetical protein
NGPMFCKN_00011	CDS	885	pgrR_1			HTH-type transcriptional regulator PgrR
NGPMFCKN_00012	CDS	1137			COG1073	putative protein
NGPMFCKN_00013	CDS	1128	nepI_1		COG2814	Purine ribonucleoside efflux pump NepI
NGPMFCKN_00014	CDS	150				hypothetical protein
NGPMFCKN_00015	CDS	957				hypothetical protein
NGPMFCKN_00016	CDS	2199	yagR	1.17.1.4	COG1529	Putative xanthine dehydrogenase YagR molybdenum-binding subunit
NGPMFCKN_00017	CDS	957	yagS	1.17.1.4	COG1319	Putative xanthine dehydrogenase YagS FAD-binding subunit
NGPMFCKN_00018	CDS	492	yagT_1		COG2080	Putative xanthine dehydrogenase YagT iron-sulfur-binding subunit
NGPMFCKN_00019	CDS	312				hypothetical protein
NGPMFCKN_00020	CDS	747				hypothetical protein
NGPMFCKN_00021	CDS	240	yagT_2		COG2080	Putative xanthine dehydrogenase YagT iron-sulfur-binding subunit
NGPMFCKN_00022	CDS	615	yagU		COG3477	Inner membrane protein YagU
NGPMFCKN_00023	CDS	711	ecpE			putative fimbrial chaperone EcpE
NGPMFCKN_00024	CDS	1644	ecpD			Fimbria adhesin EcpD
NGPMFCKN_00025	CDS	2526	ecpC			putative outer membrane usher protein EcpC
NGPMFCKN_00026	CDS	669	ecpB			putative fimbrial chaperone EcpB
NGPMFCKN_00027	CDS	588	ecpA			Common pilus major fimbrillin subunit EcpA
NGPMFCKN_00028	CDS	543	ecpR_1			HTH-type transcriptional regulator EcpR
NGPMFCKN_00029	CDS	141	ykgO		COG0257	50S ribosomal protein L36 2
NGPMFCKN_00030	CDS	267	ykgM		COG0254	50S ribosomal protein L31 type B
NGPMFCKN_00031	CDS	102	ykgR			putative membrane protein YkgR
NGPMFCKN_00032	CDS	1143		1.-.-.-		NADH oxidase
NGPMFCKN_00033	CDS	921	ycjY_1		COG1073	putative protein YcjY
NGPMFCKN_00034	CDS	927	pgrR_2			HTH-type transcriptional regulator PgrR
NGPMFCKN_00035	CDS	894	pgrR_3			HTH-type transcriptional regulator PgrR
NGPMFCKN_00036	CDS	990	iolS_1	1.1.1.-	COG0667	Aldo-keto reductase IolS
NGPMFCKN_00037	CDS	852	yvgN_1	1.1.1.-	COG0656	Glyoxal reductase
NGPMFCKN_00038	CDS	4254				Invasin
NGPMFCKN_00039	CDS	858	rob_1		COG2207	Right origin-binding protein
NGPMFCKN_00040	CDS	870	ytbE	1.-.-.-	COG0656	putative oxidoreductase YtbE
NGPMFCKN_00041	CDS	594	rclC		COG3059	Inner membrane protein RclC
NGPMFCKN_00042	CDS	1326	rclA		COG1249	putative pyridine nucleotide-disulfide oxidoreductase RclA
NGPMFCKN_00043	CDS	855	rclR_1		COG2207	RCS-specific HTH-type transcriptional activator RclR
NGPMFCKN_00044	CDS	720	lutA_1		COG0247	Lactate utilization protein A
NGPMFCKN_00045	CDS	1428	lutB		COG1139	Lactate utilization protein B
NGPMFCKN_00046	CDS	696	lutC		COG1556	Lactate utilization protein C
NGPMFCKN_00047	CDS	669				hypothetical protein
NGPMFCKN_00048	CDS	1671	betA	1.1.99.1	COG2303	Oxygen-dependent choline dehydrogenase
NGPMFCKN_00049	CDS	1473	betB_1	1.2.1.8	COG1012	NAD/NADP-dependent betaine aldehyde dehydrogenase
NGPMFCKN_00050	CDS	588	betI		COG1309	HTH-type transcriptional regulator BetI
NGPMFCKN_00051	CDS	2034	betT		COG1292	High-affinity choline transport protein
NGPMFCKN_00052	CDS	1089	pdeL	3.1.4.52	COG2200	Cyclic di-GMP phosphodiesterase PdeL
NGPMFCKN_00053	CDS	933	yahB_1			putative HTH-type transcriptional regulator YahB
NGPMFCKN_00054	CDS	498				hypothetical protein
NGPMFCKN_00055	CDS	606				hypothetical protein
NGPMFCKN_00056	CDS	864				hypothetical protein
NGPMFCKN_00057	CDS	1548	fdrA_1		COG0074	Protein FdrA
NGPMFCKN_00058	CDS	1419				hypothetical protein
NGPMFCKN_00059	CDS	951	arcC2_1	2.7.2.2		Carbamate kinase 2
NGPMFCKN_00060	CDS	1383	atzC	3.5.4.42		N-isopropylammelide isopropyl amidohydrolase
NGPMFCKN_00061	CDS	411				hypothetical protein
NGPMFCKN_00062	CDS	987	lsrB_1			Autoinducer 2-binding protein LsrB
NGPMFCKN_00063	CDS	1485	rbsA_1	3.6.3.17	COG1129	Ribose import ATP-binding protein RbsA
NGPMFCKN_00064	CDS	972	rbsC_1		COG1172	Ribose import permease protein RbsC
NGPMFCKN_00065	CDS	957	lsrD_1			Autoinducer 2 import system permease protein LsrD
NGPMFCKN_00066	CDS	1050	yahK	1.1.1.2	COG1064	Aldehyde reductase YahK
NGPMFCKN_00067	CDS	816				hypothetical protein
NGPMFCKN_00068	tRNA	81				tRNA-Ser(gga)
NGPMFCKN_00069	CDS	459	leuE_1		COG1280	Leucine efflux protein
NGPMFCKN_00070	CDS	276	bhsA_1			Multiple stress resistance protein BhsA
NGPMFCKN_00071	CDS	1587	prpR		COG1221	Propionate catabolism operon regulatory protein
NGPMFCKN_00072	CDS	891	prpB	4.1.3.30	COG2513	2-methylisocitrate lyase
NGPMFCKN_00073	CDS	540				hypothetical protein
NGPMFCKN_00074	CDS	1170	prpC	2.3.3.5	COG0372	2-methylcitrate synthase
NGPMFCKN_00075	CDS	1452	prpD	4.2.1.79	COG2079	2-methylcitrate dehydratase
NGPMFCKN_00076	CDS	1887	acs_1	6.2.1.1	COG0365	Acetyl-coenzyme A synthetase
